chromosome,genomic_accession,start,end,strand,class,locus_tag,symbol,name,GeneID
1,CP075493.1,2155,5638,-,protein_coding,I4U23_000001,,,
1,CP075493.1,9443,22451,-,protein_coding,I4U23_000002,,,
1,CP075493.1,31120,31192,-,tRNA,I4U23_000003,,,
1,CP075493.1,37749,39478,-,protein_coding,I4U23_000004,,,
1,CP075493.1,40443,42340,-,protein_coding,I4U23_000005,,,
1,CP075493.1,52551,55373,+,protein_coding,I4U23_000006,,,
1,CP075493.1,56002,56938,+,protein_coding,I4U23_000007,,,
1,CP075493.1,84835,85738,+,protein_coding,I4U23_000008,,,
1,CP075493.1,89906,90186,-,protein_coding,I4U23_000009,,,
1,CP075493.1,91601,93036,+,protein_coding,I4U23_000010,,,
1,CP075493.1,94599,96788,-,protein_coding,I4U23_000011,,,
1,CP075493.1,98816,99336,-,protein_coding,I4U23_000012,,,
1,CP075493.1,100495,102183,-,protein_coding,I4U23_000013,,,
1,CP075493.1,102518,102826,-,protein_coding,I4U23_000014,,,
1,CP075493.1,103016,104403,+,protein_coding,I4U23_000015,,,
1,CP075493.1,104649,105102,+,protein_coding,I4U23_000016,,,
1,CP075493.1,105434,109135,+,protein_coding,I4U23_000017,,,
1,CP075493.1,109492,111140,+,protein_coding,I4U23_000018,,,
1,CP075493.1,111475,111741,+,protein_coding,I4U23_000019,,,
1,CP075493.1,122849,123846,+,protein_coding,I4U23_000020,,,
1,CP075493.1,127942,131278,+,protein_coding,I4U23_000021,,,
1,CP075493.1,131861,132079,-,protein_coding,I4U23_000022,,,
1,CP075493.1,134531,136969,+,protein_coding,I4U23_000023,,,
1,CP075493.1,141759,146110,+,protein_coding,I4U23_000024,,,
1,CP075493.1,152637,154275,+,protein_coding,I4U23_000025,,,
1,CP075493.1,154687,155970,-,protein_coding,I4U23_000026,,,
1,CP075493.1,156816,157865,-,protein_coding,I4U23_000027,,,
1,CP075493.1,160633,161840,+,protein_coding,I4U23_000028,,,
1,CP075493.1,162639,170889,+,protein_coding,I4U23_000029,,,
1,CP075493.1,174610,175037,+,protein_coding,I4U23_000030,,,
1,CP075493.1,181711,182524,-,protein_coding,I4U23_000031,,,
1,CP075493.1,195306,195893,+,protein_coding,I4U23_000032,,,
1,CP075493.1,213279,217392,-,protein_coding,I4U23_000033,,,
1,CP075493.1,221458,222288,+,protein_coding,I4U23_000034,,,
1,CP075493.1,225451,229265,+,protein_coding,I4U23_000035,,,
1,CP075493.1,231519,231971,+,protein_coding,I4U23_000036,,,
1,CP075493.1,234464,235189,-,protein_coding,I4U23_000037,,,
1,CP075493.1,240746,241146,-,protein_coding,I4U23_000038,,,
1,CP075493.1,245122,246010,-,protein_coding,I4U23_000039,,,
1,CP075493.1,266372,266854,-,protein_coding,I4U23_000040,,,
1,CP075493.1,275779,276102,-,protein_coding,I4U23_000041,,,
1,CP075493.1,276769,277407,+,protein_coding,I4U23_000042,,,
1,CP075493.1,284843,285691,+,protein_coding,I4U23_000043,,,
1,CP075493.1,289584,290133,+,protein_coding,I4U23_000044,,,
1,CP075493.1,294710,294782,-,tRNA,I4U23_000045,,,
1,CP075493.1,297606,297908,+,protein_coding,I4U23_000046,,,
1,CP075493.1,300889,302215,-,protein_coding,I4U23_000047,,,
1,CP075493.1,313068,313563,-,protein_coding,I4U23_000048,,,
1,CP075493.1,315643,320051,+,protein_coding,I4U23_000049,,,
1,CP075493.1,328099,328792,-,protein_coding,I4U23_000050,,,
1,CP075493.1,330262,331662,+,protein_coding,I4U23_000051,,,
1,CP075493.1,332780,338978,-,protein_coding,I4U23_000052,,,
1,CP075493.1,349938,350195,+,protein_coding,I4U23_000053,,,
1,CP075493.1,350778,351224,+,protein_coding,I4U23_000054,,,
1,CP075493.1,356135,357418,-,protein_coding,I4U23_000055,,,
1,CP075493.1,360231,364218,+,protein_coding,I4U23_000056,,,
1,CP075493.1,367287,368322,+,protein_coding,I4U23_000057,,,
1,CP075493.1,373389,377247,-,protein_coding,I4U23_000058,,,
1,CP075493.1,385125,386588,+,protein_coding,I4U23_000059,,,
1,CP075493.1,392386,393961,+,protein_coding,I4U23_000060,,,
1,CP075493.1,397855,398486,+,protein_coding,I4U23_000061,,,
1,CP075493.1,398980,403818,-,protein_coding,I4U23_000062,,,
1,CP075493.1,408179,411521,-,protein_coding,I4U23_000063,,,
1,CP075493.1,417779,419436,+,protein_coding,I4U23_000064,,,
1,CP075493.1,422380,425541,-,protein_coding,I4U23_000065,,,
1,CP075493.1,432627,433292,+,protein_coding,I4U23_000066,,,
1,CP075493.1,439143,439665,-,protein_coding,I4U23_000067,,,
1,CP075493.1,442615,443852,-,protein_coding,I4U23_000068,,,
1,CP075493.1,449207,449792,+,protein_coding,I4U23_000069,,,
1,CP075493.1,450358,451553,-,protein_coding,I4U23_000070,,,
1,CP075493.1,455945,456533,-,protein_coding,I4U23_000071,,,
1,CP075493.1,458423,458850,+,protein_coding,I4U23_000072,,,
1,CP075493.1,461429,464817,-,protein_coding,I4U23_000073,,,
1,CP075493.1,466989,467754,-,protein_coding,I4U23_000074,,,
1,CP075493.1,470792,474960,-,protein_coding,I4U23_000075,,,
1,CP075493.1,481232,482604,-,protein_coding,I4U23_000076,,,
1,CP075493.1,483608,484301,+,protein_coding,I4U23_000077,,,
1,CP075493.1,487908,488506,+,protein_coding,I4U23_000078,,,
1,CP075493.1,494890,495428,+,protein_coding,I4U23_000079,,,
1,CP075493.1,500066,500556,+,protein_coding,I4U23_000080,,,
1,CP075493.1,502346,502900,+,protein_coding,I4U23_000081,,,
1,CP075493.1,506659,508860,-,protein_coding,I4U23_000082,,,
1,CP075493.1,513801,514058,+,protein_coding,I4U23_000083,,,
1,CP075493.1,528081,528275,-,protein_coding,I4U23_000084,,,
1,CP075493.1,534838,536758,-,protein_coding,I4U23_000085,,,
1,CP075493.1,536819,543260,-,protein_coding,I4U23_000086,,,
1,CP075493.1,551866,552141,+,protein_coding,I4U23_000087,,,
1,CP075493.1,564722,565169,-,protein_coding,I4U23_000088,,,
1,CP075493.1,566344,570196,-,protein_coding,I4U23_000089,,,
1,CP075493.1,573685,574716,-,protein_coding,I4U23_000090,,,
1,CP075493.1,581730,583066,+,protein_coding,I4U23_000091,,,
1,CP075493.1,584703,584981,+,protein_coding,I4U23_000092,,,
1,CP075493.1,585398,587320,-,protein_coding,I4U23_000093,,,
1,CP075493.1,588209,589269,-,protein_coding,I4U23_000094,,,
1,CP075493.1,595156,597653,-,protein_coding,I4U23_000095,,,
1,CP075493.1,597927,599224,+,protein_coding,I4U23_000096,,,
1,CP075493.1,600066,600651,-,protein_coding,I4U23_000097,,,
1,CP075493.1,601578,602562,-,protein_coding,I4U23_000098,,,
1,CP075493.1,607638,610696,+,protein_coding,I4U23_000099,,,
1,CP075493.1,612250,613131,-,protein_coding,I4U23_000100,,,
1,CP075493.1,613693,614448,+,protein_coding,I4U23_000101,,,
1,CP075493.1,614503,615232,-,protein_coding,I4U23_000102,,,
1,CP075493.1,615998,617223,+,protein_coding,I4U23_000103,,,
1,CP075493.1,618594,620602,-,protein_coding,I4U23_000104,,,
1,CP075493.1,620704,622164,-,protein_coding,I4U23_000105,,,
1,CP075493.1,626317,627348,+,protein_coding,I4U23_000106,,,
1,CP075493.1,632617,633811,+,protein_coding,I4U23_000107,,,
1,CP075493.1,643736,644629,-,protein_coding,I4U23_000108,,,
1,CP075493.1,651693,653438,+,protein_coding,I4U23_000109,,,
1,CP075493.1,658975,660138,+,protein_coding,I4U23_000110,,,
1,CP075493.1,662469,663059,+,protein_coding,I4U23_000111,,,
1,CP075493.1,664386,665072,+,protein_coding,I4U23_000112,,,
1,CP075493.1,667383,668096,-,protein_coding,I4U23_000113,,,
1,CP075493.1,669869,673192,-,protein_coding,I4U23_000114,,,
1,CP075493.1,679917,681578,-,protein_coding,I4U23_000115,,,
1,CP075493.1,682474,683985,+,protein_coding,I4U23_000116,,,
1,CP075493.1,687578,689377,-,protein_coding,I4U23_000117,,,
1,CP075493.1,689441,691440,-,protein_coding,I4U23_000118,,,
1,CP075493.1,692197,692562,-,protein_coding,I4U23_000119,,,
1,CP075493.1,693667,694545,-,protein_coding,I4U23_000120,,,
1,CP075493.1,695817,698399,+,protein_coding,I4U23_000121,,,
1,CP075493.1,701032,701409,+,protein_coding,I4U23_000122,,,
1,CP075493.1,701498,702080,+,protein_coding,I4U23_000123,,,
1,CP075493.1,707700,708465,+,protein_coding,I4U23_000124,,,
1,CP075493.1,708869,710525,-,protein_coding,I4U23_000125,,,
1,CP075493.1,711077,711960,+,protein_coding,I4U23_000126,,,
1,CP075493.1,714948,716210,-,protein_coding,I4U23_000127,,,
1,CP075493.1,716477,717221,+,protein_coding,I4U23_000128,,,
1,CP075493.1,717513,718065,+,protein_coding,I4U23_000129,,,
1,CP075493.1,724552,725441,-,protein_coding,I4U23_000130,,,
1,CP075493.1,725989,726915,-,protein_coding,I4U23_000131,,,
1,CP075493.1,730046,731344,+,protein_coding,I4U23_000132,,,
1,CP075493.1,735357,739677,+,protein_coding,I4U23_000133,,,
1,CP075493.1,741390,742732,-,protein_coding,I4U23_000134,,,
1,CP075493.1,746630,747382,-,protein_coding,I4U23_000135,,,
1,CP075493.1,752643,754157,+,protein_coding,I4U23_000136,,,
1,CP075493.1,754286,755533,+,protein_coding,I4U23_000137,,,
1,CP075493.1,755516,757598,-,protein_coding,I4U23_000138,,,
1,CP075493.1,757958,758683,-,protein_coding,I4U23_000139,,,
1,CP075493.1,759586,760656,-,protein_coding,I4U23_000140,,,
1,CP075493.1,763618,765008,-,protein_coding,I4U23_000141,,,
1,CP075493.1,765165,766455,+,protein_coding,I4U23_000142,,,
1,CP075493.1,767135,767715,-,protein_coding,I4U23_000143,,,
1,CP075493.1,769858,771637,-,protein_coding,I4U23_000144,,,
1,CP075493.1,772579,773108,+,protein_coding,I4U23_000145,,,
1,CP075493.1,773800,774390,+,protein_coding,I4U23_000146,,,
1,CP075493.1,775003,776326,+,protein_coding,I4U23_000147,,,
1,CP075493.1,776931,777838,-,protein_coding,I4U23_000148,,,
1,CP075493.1,781752,783151,+,protein_coding,I4U23_000149,,,
1,CP075493.1,796932,800214,-,protein_coding,I4U23_000150,,,
1,CP075493.1,800734,802299,+,protein_coding,I4U23_000151,,,
1,CP075493.1,802808,803485,-,protein_coding,I4U23_000152,,,
1,CP075493.1,803600,804272,-,protein_coding,I4U23_000153,,,
1,CP075493.1,807735,809356,+,protein_coding,I4U23_000154,,,
1,CP075493.1,824489,825550,-,protein_coding,I4U23_000155,,,
1,CP075493.1,826565,828013,-,protein_coding,I4U23_000156,,,
1,CP075493.1,829560,830397,+,protein_coding,I4U23_000157,,,
1,CP075493.1,835146,835533,+,protein_coding,I4U23_000158,,,
1,CP075493.1,837189,837977,+,protein_coding,I4U23_000159,,,
1,CP075493.1,838333,838611,-,protein_coding,I4U23_000160,,,
1,CP075493.1,839251,839877,-,protein_coding,I4U23_000161,,,
1,CP075493.1,842571,848748,-,protein_coding,I4U23_000162,,,
