species_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Pan_troglodytes,chr1,chromosome,49260118,19704047,21766138
Pan_troglodytes,chr2,chromosome,123752918,49501167,52354808
Pan_troglodytes,chr3,chromosome,94500599,37800239,40190375
Pan_troglodytes,chr4,chromosome,228400822,91360328,93757319
Pan_troglodytes,chr5,chromosome,236523264,94609305,96711039
Pan_troglodytes,chr6,chromosome,226179454,90471781,93062688
Pan_troglodytes,chr7,chromosome,70410361,28164144,30745755
Pan_troglodytes,chr8,chromosome,140983119,56393247,58581469
Pan_troglodytes,chr9,chromosome,226874003,90749601,92801262
Pan_troglodytes,chr10,chromosome,108039579,43215831,45423219
Pan_troglodytes,chr11,chromosome,217401092,86960436,89901852
Pan_troglodytes,chr12,chromosome,112698597,45079438,48006356
Pan_troglodytes,chr13,chromosome,139727269,55890907,58553790
Pan_troglodytes,chr14,chromosome,234017229,93606891,96361346
Pan_troglodytes,chr15,chromosome,219644476,87857790,90229308
Pan_troglodytes,chr16,chromosome,71483490,28593396,30870779
Pan_troglodytes,chr17,chromosome,216288629,86515451,89203624
Pan_troglodytes,chr18,chromosome,181685769,72674307,75662195
Pan_troglodytes,chr19,chromosome,108445469,43378187,45952597
Pan_troglodytes,chr20,chromosome,230149869,92059947,94644959
Pan_troglodytes,chr21,chromosome,159715082,63886032,66078565
Pan_troglodytes,chr22,chromosome,214277471,85710988,88282550
Pan_troglodytes,X,chromosome,53877352,21550940,24207342
Pan_troglodytes,Y,chromosome,170075287,68030114,70972017
Gorilla_gorilla,chr1,chromosome,46584858,18633943,21099914
Gorilla_gorilla,chr2,chromosome,214323277,85729310,88451566
Gorilla_gorilla,chr3,chromosome,118572963,47429185,49858132
Gorilla_gorilla,chr4,chromosome,161446167,64578466,66878991
Gorilla_gorilla,chr5,chromosome,117887264,47154905,49778669
Gorilla_gorilla,chr6,chromosome,69567231,27826892,30585895
Gorilla_gorilla,chr7,chromosome,83604972,33441988,35524631
Gorilla_gorilla,chr8,chromosome,205531312,82212524,84257747
Gorilla_gorilla,chr9,chromosome,178929041,71571616,74138696
Gorilla_gorilla,chr10,chromosome,162103026,64841210,67049182
Gorilla_gorilla,chr11,chromosome,114686926,45874770,48136468
Gorilla_gorilla,chr12,chromosome,73169908,29267963,31713613
Gorilla_gorilla,chr13,chromosome,96035571,38414228,40870219
Gorilla_gorilla,chr14,chromosome,55549266,22219706,24355186
Gorilla_gorilla,chr15,chromosome,175192617,70077046,72405866
Gorilla_gorilla,chr16,chromosome,196588906,78635562,80664428
Gorilla_gorilla,chr17,chromosome,171859169,68743667,71465151
Gorilla_gorilla,chr18,chromosome,229945227,91978090,94581351
Gorilla_gorilla,chr19,chromosome,203070478,81228191,83757414
Gorilla_gorilla,chr20,chromosome,106379936,42551974,45362215
Gorilla_gorilla,chr21,chromosome,208560359,83424143,86354280
Gorilla_gorilla,chr22,chromosome,65878734,26351493,28538579
Gorilla_gorilla,X,chromosome,74437354,29774941,32048102
Gorilla_gorilla,Y,chromosome,46293798,18517519,21408546
Mus_musculus,chr1,chromosome,146118162,58447264,60932467
Mus_musculus,chr2,chromosome,50134278,20053711,22485401
Mus_musculus,chr3,chromosome,112033768,44813507,47011292
Mus_musculus,chr4,chromosome,130324916,52129966,54844283
Mus_musculus,chr5,chromosome,60616610,24246644,27163030
Mus_musculus,chr6,chromosome,40394304,16157721,18780971
Mus_musculus,chr7,chromosome,76524740,30609896,32850421
Mus_musculus,chr8,chromosome,35606044,14242417,16901990
Mus_musculus,chr9,chromosome,172479147,68991658,71632837
Mus_musculus,chr10,chromosome,161463741,64585496,67274078
Mus_musculus,chr11,chromosome,51630674,20652269,22700386
Mus_musculus,chr12,chromosome,58530004,23412001,25666732
Mus_musculus,chr13,chromosome,45285167,18114066,20402041
Mus_musculus,chr14,chromosome,203211241,81284496,83835733
Mus_musculus,chr15,chromosome,137314231,54925692,57086368
Mus_musculus,chr16,chromosome,179204910,71681964,74067503
Mus_musculus,chr17,chromosome,175149559,70059823,72634224
Mus_musculus,chr18,chromosome,193108737,77243494,80118926
Mus_musculus,chr19,chromosome,54516035,21806414,24564560
Mus_musculus,X,chromosome,197191644,78876657,81523758
Mus_musculus,Y,chromosome,78505646,31402258,33609147
Rattus_norvegicus,chr1,chromosome,108029167,43211666,45829992
Rattus_norvegicus,chr2,chromosome,115716481,46286592,49041089
Rattus_norvegicus,chr3,chromosome,177290533,70916213,73253806
Rattus_norvegicus,chr4,chromosome,194866108,77946443,80761859
Rattus_norvegicus,chr5,chromosome,112297125,44918850,47405295
Rattus_norvegicus,chr6,chromosome,153352386,61340954,64160155
Rattus_norvegicus,chr7,chromosome,149344162,59737664,61929275
Rattus_norvegicus,chr8,chromosome,199745260,79898104,82696714
Rattus_norvegicus,chr9,chromosome,187609146,75043658,77063280
