query_name,query_chr,query_start,query_end,query_strand,ref_chr,ref_start,ref_end,ref_species,qry_lvl
Pan_troglodytes,chr22,9051892,19374727,+,chr18,9051892,19374727,Homo_sapiens,chromosome
Pan_troglodytes,chr14,48892826,60406850,-,chr13,48892826,60406850,Homo_sapiens,chromosome
Pan_troglodytes,chr9,1564826,8148818,-,chr5,1564826,8148818,Homo_sapiens,chromosome
Gorilla_gorilla,chr19,46952120,57049250,-,chr21,46952120,57049250,Homo_sapiens,chromosome
Gorilla_gorilla,chr22,47423191,54230249,-,chr11,47423191,54230249,Homo_sapiens,chromosome
Gorilla_gorilla,chr3,11933702,17167373,-,chr14,11933702,17167373,Homo_sapiens,chromosome
Gorilla_gorilla,chr18,6884537,17445541,-,chr13,6884537,17445541,Homo_sapiens,chromosome
Gorilla_gorilla,chr19,36012968,47059430,-,chr1,36012968,47059430,Homo_sapiens,chromosome
Mus_musculus,chr11,26201052,32544859,-,chr10,26201052,32544859,Homo_sapiens,chromosome
Mus_musculus,chr16,45843722,52741452,+,chr13,45843722,52741452,Homo_sapiens,chromosome
Mus_musculus,chr6,33364065,45337849,-,chr14,33364065,45337849,Homo_sapiens,chromosome
Mus_musculus,chr9,26020640,33061684,+,chr8,26020640,33061684,Homo_sapiens,chromosome
Rattus_norvegicus,X,3463565,13086752,-,chr8,3463565,13086752,Homo_sapiens,chromosome
Rattus_norvegicus,chr15,45819457,56579812,-,chr10,45819457,56579812,Homo_sapiens,chromosome
Rattus_norvegicus,chr17,44355687,56690461,-,chr10,44355687,56690461,Homo_sapiens,chromosome
Rattus_norvegicus,chr15,38743724,48933520,-,chr21,38743724,48933520,Homo_sapiens,chromosome
Danio_rerio,chr24,13429553,22726002,-,chr2,13429553,22726002,Homo_sapiens,chromosome
Danio_rerio,chr17,21525096,34036422,+,chr14,21525096,34036422,Homo_sapiens,chromosome
Danio_rerio,chr23,39576070,45212014,-,chr5,39576070,45212014,Homo_sapiens,chromosome
Danio_rerio,chr2,8969237,21667928,+,chr11,7769237,22667928,Homo_sapiens,chromosome
Drosophila_melanogaster,X,44796800,56723739,+,chr11,44796800,56723739,Homo_sapiens,chromosome
Drosophila_melanogaster,4,22638960,34604707,+,chr7,22638960,34604707,Homo_sapiens,chromosome
Drosophila_melanogaster,X,40543833,51117040,-,chr14,40543833,51117040,Homo_sapiens,chromosome
Drosophila_melanogaster,2R,33123409,44200067,+,chr21,33123409,44200067,Homo_sapiens,chromosome
Drosophila_melanogaster,3L,43498321,53947814,+,chr17,43498321,53947814,Homo_sapiens,chromosome
Caenorhabditis_elegans,chr2,28765343,37643120,+,chr8,28765343,37643120,Homo_sapiens,chromosome
Caenorhabditis_elegans,chr3,28646881,37590659,+,chr7,28646881,37590659,Homo_sapiens,chromosome
Caenorhabditis_elegans,chr2,24573194,36532481,-,chr14,24573194,36532481,Homo_sapiens,chromosome
Caenorhabditis_elegans,chr4,11277919,21994860,+,chr12,11277919,21994860,Homo_sapiens,chromosome
Gallus_gallus,chr14,7836505,15866238,-,chr14,7836505,15866238,Homo_sapiens,chromosome
Gallus_gallus,chr11,30610932,39363378,-,chr16,30610932,39363378,Homo_sapiens,chromosome
Gallus_gallus,chr26,22406877,31671682,+,chr5,22406877,31671682,Homo_sapiens,chromosome
Xenopus_tropicalis,chr8,24216445,30086748,+,chr9,24216445,30086748,Homo_sapiens,chromosome
Xenopus_tropicalis,chr10,11171791,22954362,+,chr2,11171791,22954362,Homo_sapiens,chromosome
Xenopus_tropicalis,chr9,22982981,28324205,-,chr21,22982981,28324205,Homo_sapiens,chromosome
Xenopus_tropicalis,chr8,19096804,24565993,-,chr2,19096804,24565993,Homo_sapiens,chromosome
Xenopus_tropicalis,chr9,42011145,49820097,-,chr8,42011145,49820097,Homo_sapiens,chromosome
Saccharomyces_cerevisiae,chr10,26220756,31228290,-,chr12,26220756,31228290,Homo_sapiens,chromosome
Saccharomyces_cerevisiae,chr16,25771323,36406069,+,chr10,25771323,36406069,Homo_sapiens,chromosome
Saccharomyces_cerevisiae,chr6,9801039,23530300,+,chr15,9801039,23530300,Homo_sapiens,chromosome
