species_name,chr_id,chr_type,chr_size_bp
Homo_sapiens,chr1,chromosome,248956422
Homo_sapiens,chr2,chromosome,242193529
Homo_sapiens,chrX,chromosome,156040895
Pan_troglodytes,chr1,chromosome,224244399
Pan_troglodytes,chr2,chromosome,182055439
Canis_lupus,chrA,chromosome,123456789
Canis_lupus,chrB,chromosome,98765432
Gallus_gallus,chr1,chromosome,195471971
Gallus_gallus,chr2,chromosome,150789456
Danio_rerio,chr5,chromosome,75682077
Danio_rerio,chr7,chromosome,80974532
Arabidopsis_thaliana,chr1,chromosome,30427671
Arabidopsis_thaliana,chr2,chromosome,19698289
Saccharomyces_cerevisiae,chrI,chromosome,230218
Saccharomyces_cerevisiae,chrII,chromosome,813184
Drosophila_melanogaster,2L,chromosome,23513712
Drosophila_melanogaster,2R,chromosome,25286936
